active_power_w,energy_consumption_kwh,water_usage_effectiveness,carbon_intensity_gco2_kwh,inlet_temperature_c,exhaust_temperature_c,delta_t_c,fan_speed_rpm,cooling_method,cpu_utilization_percent,memory_utilization_percent,gpu_power_w,gpu_utilization_percent,gpu_temperature_c,gpu_core_frequency_mhz,num_gpus,ai_workload_type,batch_size,num_epochs,model_parameter_size_million,training_samples,job_duration_hours,job_status,rack_power_density_kw,gpu_sharing_mode,power_cap_w,manufacturer_sku_id,rack_label_color,rack_inventory_zone,environmental_waste_risk_level
1720,1.74,0.42,120,19.0,31.5,12.5,3900,air,38,52,135,58,49,1320,2,inference,64,1,180,240000,0.28,success,8,temporal_sharing,2300,sku_b,green,zone_c,baixo
3280,3.31,0.58,185,20.5,37.0,16.5,6100,air,56,67,235,72,59,1480,4,inference,128,1,450,720000,0.85,success,17,mig,4300,sku_e,blue,zone_a,baixo
5100,5.05,0.74,260,21.0,43.0,22.0,8200,hybrid,69,76,375,80,66,1630,4,fine_tuning,256,10,2200,3300000,7.80,success,32,full_gpu,6400,sku_a,red,zone_d,baixo
6840,6.90,0.68,210,22.0,48.5,26.5,9100,liquid,76,84,455,87,71,1760,8,training,512,35,8500,14000000,22.00,success,49,full_gpu,8400,sku_d,white,zone_b,baixo
2460,2.43,0.51,155,19.5,34.0,14.5,5400,air,47,60,185,67,55,1410,2,fine_tuning,128,6,950,1700000,4.20,success,14,temporal_sharing,3400,sku_c,yellow,zone_a,baixo
7550,7.61,0.82,330,22.5,50.0,27.5,11600,hybrid,79,86,495,86,74,1810,8,training,768,45,16000,26000000,34.00,running,58,full_gpu,9200,sku_e,green,zone_d,baixo
1180,1.21,0.36,95,18.5,28.5,10.0,3000,air,29,42,95,44,44,1120,1,inference,32,1,55,85000,0.10,success,6,mig,1700,sku_a,white,zone_b,baixo
4450,4.48,0.88,380,23.0,44.5,21.5,9400,hybrid,64,71,335,76,68,1580,4,fine_tuning,192,12,3100,4200000,9.20,success,29,full_gpu,5800,sku_d,blue,zone_c,baixo
8950,8.88,0.95,290,23.5,53.0,29.5,12500,liquid,82,88,535,90,77,1870,8,training,1024,70,28000,52000000,60.00,success,72,full_gpu,10600,sku_b,red,zone_a,baixo
3620,3.66,0.63,240,21.0,39.0,18.0,7600,air,59,65,270,70,62,1510,4,inference,256,1,900,1300000,1.50,success,24,temporal_sharing,5000,sku_c,green,zone_d,baixo
2380,2.41,0.62,180,21.5,38.0,16.5,6700,air,36,54,205,42,60,1340,4,inference,64,1,650,520000,0.70,success,19,full_gpu,3700,sku_d,yellow,zone_b,moderado
4720,4.79,0.78,260,23.0,46.0,23.0,9600,hybrid,55,66,320,56,69,1510,4,fine_tuning,256,9,2400,2900000,7.50,success,34,full_gpu,6200,sku_a,white,zone_c,moderado
6240,6.18,1.12,410,24.0,51.0,27.0,11900,hybrid,63,72,405,61,75,1660,8,training,512,28,9500,17000000,23.00,running,50,full_gpu,8000,sku_e,red,zone_a,moderado
3550,3.61,0.52,340,22.0,41.5,19.5,9000,air,43,58,260,46,65,1440,4,inference,128,1,1300,1150000,1.30,success,26,temporal_sharing,5300,sku_b,green,zone_d,moderado
8050,8.12,1.48,365,25.0,56.5,31.5,14000,hybrid,71,79,470,70,79,1730,8,training,768,55,18000,31000000,43.00,success,66,full_gpu,9800,sku_c,blue,zone_b,moderado
5320,5.38,0.69,455,23.5,48.5,25.0,11100,liquid,57,68,350,54,73,1590,8,inference,256,1,4200,2800000,2.80,running,47,mig,7200,sku_d,red,zone_c,moderado
2980,3.04,1.24,285,24.0,42.5,18.5,8500,air,30,48,235,32,64,1360,4,idle,16,1,90,60000,0.50,success,24,temporal_sharing,4300,sku_a,blue,zone_a,moderado
6820,6.90,1.36,520,25.5,54.5,29.0,13200,hybrid,61,75,435,59,78,1680,8,fine_tuning,512,20,7000,10500000,18.00,success,57,full_gpu,8600,sku_e,yellow,zone_d,moderado
9750,9.82,1.72,430,26.0,60.0,34.0,15100,liquid,73,82,525,68,82,1770,16,training,1024,95,33000,66000000,86.00,running,94,full_gpu,11400,sku_b,white,zone_b,moderado
4260,4.33,0.94,310,23.0,45.5,22.5,10300,air,49,61,300,43,69,1490,4,fine_tuning,192,8,1900,2300000,6.00,aborted,31,full_gpu,5700,sku_c,green,zone_c,moderado
7080,7.17,1.58,390,26.5,60.0,33.5,16500,air,20,36,455,19,81,1220,8,idle,8,1,70,25000,4.80,running,72,full_gpu,9200,sku_e,white,zone_b,alto
9280,9.36,2.20,560,27.5,65.0,37.5,18400,air,27,44,525,25,86,1360,8,inference,32,1,360,200000,2.60,failed,88,full_gpu,10800,sku_a,green,zone_d,alto
11150,11.28,2.75,640,29.0,70.5,41.5,20200,air,34,51,615,31,91,1460,16,idle,16,1,120,45000,7.20,running,116,full_gpu,12000,sku_d,blue,zone_a,alto
8640,8.73,1.95,470,27.0,63.0,36.0,17600,hybrid,39,56,505,35,85,1410,8,fine_tuning,128,18,5200,6500000,36.00,failed,76,full_gpu,10100,sku_b,red,zone_c,alto
6520,6.60,2.85,705,26.0,57.5,31.5,15800,hybrid,24,39,415,23,78,1280,8,inference,16,1,240,140000,2.10,aborted,61,full_gpu,8200,sku_c,yellow,zone_a,alto
10180,10.30,1.44,345,28.5,68.0,39.5,19600,air,46,59,585,42,90,1530,16,training,256,130,24000,34000000,125.00,failed,110,full_gpu,12000,sku_e,blue,zone_c,alto
5960,6.02,2.10,610,25.5,55.0,29.5,15000,hybrid,17,31,385,15,76,1110,4,idle,4,1,35,12000,3.80,running,43,full_gpu,7300,sku_a,white,zone_d,alto
7420,7.50,1.67,520,27.0,61.0,34.0,17000,air,35,48,470,29,83,1330,8,inference,64,1,900,800000,5.20,success,80,full_gpu,9400,sku_d,green,zone_b,alto
11680,11.80,3.60,830,31.0,73.0,42.0,21600,air,53,65,650,48,94,1610,16,fine_tuning,512,50,42000,48000000,100.00,aborted,119,full_gpu,12000,sku_b,yellow,zone_c,alto
6840,6.93,1.18,300,26.0,58.5,32.5,14600,liquid,29,43,445,24,80,1260,8,idle,8,1,65,30000,5.80,failed,67,full_gpu,8700,sku_c,red,zone_a,alto

