active_power_w,energy_consumption_kwh,water_usage_effectiveness,carbon_intensity_gco2_kwh,inlet_temperature_c,exhaust_temperature_c,delta_t_c,fan_speed_rpm,cooling_method,cpu_utilization_percent,memory_utilization_percent,gpu_power_w,gpu_utilization_percent,gpu_temperature_c,gpu_core_frequency_mhz,num_gpus,ai_workload_type,batch_size,num_epochs,model_parameter_size_million,training_samples,job_duration_hours,job_status,rack_power_density_kw,gpu_sharing_mode,power_cap_w,manufacturer_sku_id,rack_label_color,rack_inventory_zone,environmental_waste_risk_level
9409,9.46,1.55,430,27.0,64.0,37.0,17650,air,36,58,540,27,86,1510,16,idle,8,1,120,58000,6.40,running,98.0,full_gpu,11800,sku_c,blue,zone_d,alto
8120,8.08,2.40,690,28.5,67.0,38.5,19100,hybrid,44,63,515,35,84,1580,8,inference,32,1,450,240000,3.80,failed,79.0,full_gpu,10200,sku_a,green,zone_b,alto
10850,10.91,3.10,740,30.0,71.5,41.5,20500,air,31,49,610,24,91,1460,16,idle,16,1,80,43000,7.10,running,116.0,full_gpu,12000,sku_d,red,zone_a,alto
8750,8.81,1.85,470,27.0,63.0,36.0,17250,hybrid,39,56,500,38,85,1410,8,fine_tuning,128,21,5200,6500000,39.50,failed,75.0,temporal_sharing,10000,sku_b,white,zone_c,alto
6460,6.49,2.70,705,26.0,57.5,31.5,15800,hybrid,24,39,415,23,78,1280,8,inference,16,1,240,140000,2.30,aborted,62.0,mig,8200,sku_e,yellow,zone_a,alto
10220,10.29,1.35,345,28.5,68.0,39.5,19600,air,46,59,585,42,90,1530,16,training,256,130,24000,34000000,125.00,failed,110.0,full_gpu,12000,sku_a,blue,zone_c,alto
5940,5.98,1.95,610,25.5,55.0,29.5,15000,hybrid,17,31,385,15,76,1110,4,idle,4,1,35,12000,3.80,running,43.0,full_gpu,7300,sku_c,red,zone_d,alto
7420,7.48,1.52,520,27.0,61.0,34.0,16700,air,35,48,470,29,83,1330,8,inference,64,1,900,800000,5.20,success,80.0,temporal_sharing,9400,sku_b,green,zone_b,alto
11680,11.78,3.45,830,31.0,73.0,42.0,21600,air,53,65,650,48,94,1610,16,fine_tuning,512,50,42000,48000000,100.00,aborted,119.0,full_gpu,12000,sku_e,white,zone_c,alto
6840,6.91,1.12,300,26.0,58.5,32.5,14600,liquid,29,43,445,24,80,1260,8,idle,8,1,65,30000,5.80,failed,67.0,mig,8700,sku_d,yellow,zone_a,alto
7840,7.89,2.35,580,28.0,65.0,37.0,18100,air,28,52,535,22,86,1390,8,inference,32,1,350,180000,2.60,failed,86.0,full_gpu,10600,sku_a,red,zone_d,alto
9980,10.02,1.68,405,29.5,69.0,39.5,18850,hybrid,47,62,575,45,88,1575,16,training,512,96,18000,41000000,118.00,aborted,103.0,temporal_sharing,12000,sku_c,blue,zone_a,alto
5660,5.71,2.15,660,26.5,60.0,33.5,15400,liquid,21,37,390,19,77,1210,4,idle,2,1,25,21000,4.20,running,41.0,full_gpu,7100,sku_b,white,zone_b,alto
9100,9.05,2.80,715,28.5,66.0,37.5,19400,air,32,51,520,31,87,1440,8,fine_tuning,256,18,6800,9500000,42.00,failed,90.0,mig,11100,sku_e,green,zone_c,alto
10550,10.61,1.42,360,30.0,70.0,40.0,17700,air,58,72,610,52,92,1660,16,training,1024,85,31000,57000000,82.00,success,112.0,full_gpu,12000,sku_d,red,zone_d,alto
4900,4.93,1.88,590,25.0,56.0,31.0,12800,hybrid,30,46,360,26,72,1190,4,inference,128,1,1800,1200000,4.90,running,36.0,temporal_sharing,6800,sku_a,yellow,zone_a,alto
8220,8.27,2.55,640,27.5,63.0,35.5,16300,liquid,42,57,510,34,84,1425,8,fine_tuning,384,30,8500,12200000,61.00,aborted,78.0,full_gpu,9800,sku_c,white,zone_b,alto
11100,11.03,2.95,760,30.5,72.5,42.0,20800,air,25,44,625,18,90,1500,16,idle,4,1,50,35000,8.40,failed,117.0,mig,12000,sku_b,blue,zone_c,alto
6730,6.79,1.25,330,25.5,57.0,31.5,13900,hybrid,34,55,455,28,79,1305,8,inference,64,1,700,650000,6.00,success,66.0,full_gpu,8900,sku_e,red,zone_a,alto
7680,7.73,2.10,540,26.0,62.0,36.0,15550,immersion,49,68,490,43,82,1490,8,training,512,70,14000,25000000,90.00,failed,73.0,temporal_sharing,9600,sku_d,green,zone_d,alto
9350,9.41,1.76,430,27.0,64.5,37.5,15100,liquid,37,54,560,39,86,1515,16,fine_tuning,256,26,7600,8600000,55.00,running,92.0,full_gpu,11500,sku_a,white,zone_c,alto
5860,5.89,2.40,680,25.5,59.0,33.5,17100,air,19,35,400,17,76,1140,4,idle,8,1,40,18000,3.30,success,44.0,mig,7600,sku_c,yellow,zone_b,alto
10300,10.36,2.20,500,29.0,68.5,39.5,20200,air,41,60,600,30,91,1500,16,inference,128,1,1200,1600000,7.50,failed,108.0,full_gpu,12000,sku_b,blue,zone_d,alto
7280,7.21,1.05,275,26.5,59.0,32.5,13200,liquid,32,50,475,33,81,1350,8,training,1024,110,28000,46000000,130.00,aborted,72.0,temporal_sharing,9300,sku_e,white,zone_a,alto
8620,8.68,3.05,745,29.0,67.5,38.5,18600,hybrid,45,61,545,37,88,1470,8,fine_tuning,512,35,12000,17000000,72.00,failed,82.0,full_gpu,10800,sku_d,red,zone_c,alto
6180,6.13,1.60,480,25.0,55.0,30.0,11800,immersion,55,70,420,58,78,1510,8,training,768,60,22000,33000000,96.00,running,58.0,mig,8100,sku_a,green,zone_b,alto
11500,11.56,2.65,620,31.0,74.0,43.0,22000,air,60,74,660,51,95,1700,16,training,1536,120,50000,85000000,150.00,success,120.0,full_gpu,12000,sku_c,yellow,zone_d,alto
5330,5.36,1.70,550,24.5,55.5,31.0,14100,hybrid,22,42,370,18,74,1180,4,idle,4,1,90,40000,5.10,running,39.0,temporal_sharing,7000,sku_b,blue,zone_a,alto
7980,8.03,2.20,570,26.0,61.5,35.5,16450,liquid,47,64,505,45,83,1480,8,fine_tuning,384,22,6500,9200000,48.00,success,76.0,full_gpu,10000,sku_e,green,zone_c,alto
9060,9.11,1.33,390,28.0,66.0,38.0,15300,air,36,56,530,34,85,1395,16,inference,64,1,900,700000,4.80,failed,96.0,mig,11500,sku_d,white,zone_b,alto
4620,4.66,2.05,625,25.0,54.0,29.0,10900,hybrid,44,58,315,48,70,1320,4,inference,256,1,2500,2800000,5.90,success,34.0,temporal_sharing,6100,sku_a,red,zone_d,alto
10100,10.04,2.75,690,29.5,70.0,40.5,19700,air,50,68,590,40,90,1550,16,fine_tuning,512,40,20000,30000000,89.00,aborted,107.0,full_gpu,12000,sku_c,blue,zone_a,alto
6300,6.35,1.18,310,25.5,58.0,32.5,12500,liquid,27,45,430,22,78,1210,8,idle,8,1,110,52000,7.20,failed,60.0,mig,8500,sku_b,yellow,zone_c,alto
8800,8.77,2.35,515,27.0,64.0,37.0,14800,hybrid,61,76,500,55,84,1600,8,training,1024,95,36000,60000000,110.00,failed,81.0,temporal_sharing,10400,sku_e,white,zone_d,alto
11250,11.31,1.90,465,30.0,70.5,40.5,18400,air,40,62,635,29,92,1480,16,inference,128,1,4000,2100000,6.60,running,118.0,full_gpu,12000,sku_d,green,zone_a,alto
5790,5.84,2.80,720,26.0,60.5,34.5,16000,hybrid,18,36,395,16,75,1105,4,idle,2,1,55,26000,4.60,aborted,45.0,full_gpu,7500,sku_a,blue,zone_b,alto
7425,7.50,1.48,430,26.5,62.0,35.5,13600,liquid,39,58,480,36,82,1430,8,fine_tuning,256,28,9000,11000000,64.00,success,69.0,mig,9600,sku_c,red,zone_d,alto
9580,9.62,2.15,580,28.5,67.0,38.5,17500,air,43,59,570,32,88,1460,16,training,768,90,26000,42000000,100.00,failed,100.0,temporal_sharing,12000,sku_b,white,zone_c,alto
3980,4.03,2.30,650,24.5,53.0,28.5,9700,hybrid,28,44,330,25,69,1150,4,inference,64,1,1200,900000,3.70,running,28.0,full_gpu,5600,sku_e,yellow,zone_a,alto
6850,6.80,1.10,285,25.0,57.5,32.5,14650,air,31,52,455,27,80,1285,8,idle,4,1,40,30000,5.60,success,78.0,temporal_sharing,8900,sku_d,blue,zone_b,alto
10900,10.95,2.90,800,30.5,72.0,41.5,21000,air,47,65,620,44,93,1620,16,fine_tuning,768,45,36000,44000000,96.00,aborted,114.0,full_gpu,12000,sku_a,red,zone_d,alto
5210,5.25,1.45,390,24.0,55.5,31.5,11500,liquid,23,41,380,21,76,1200,4,idle,8,1,70,25000,4.50,failed,40.0,mig,6900,sku_c,green,zone_c,alto
8240,8.29,2.05,535,27.0,63.0,36.0,15200,immersion,57,70,520,50,85,1580,8,training,512,80,19000,36000000,115.00,running,78.0,full_gpu,10200,sku_b,white,zone_a,alto
7680,7.75,1.58,310,26.5,60.0,33.5,13300,hybrid,34,53,500,31,83,1390,8,inference,128,1,2100,1800000,6.00,success,74.0,temporal_sharing,9900,sku_e,blue,zone_d,alto
9700,9.63,2.50,650,28.0,66.5,38.5,16800,liquid,48,63,560,43,87,1510,16,fine_tuning,384,32,12500,15500000,75.00,failed,95.0,full_gpu,12000,sku_d,yellow,zone_b,alto
6080,6.14,1.25,455,25.0,56.0,31.0,12800,hybrid,26,43,410,23,77,1225,8,idle,16,1,95,47000,6.80,running,55.0,mig,8200,sku_a,white,zone_c,alto
11520,11.47,2.75,705,30.0,72.5,42.5,20300,air,54,69,650,47,94,1650,16,training,1024,115,44000,70000000,140.00,failed,119.0,full_gpu,12000,sku_c,red,zone_a,alto
4570,4.60,1.70,520,24.5,52.0,27.5,10400,hybrid,40,56,350,42,71,1300,4,inference,256,1,3800,3500000,4.20,success,31.0,temporal_sharing,6200,sku_b,green,zone_d,alto
8940,8.98,1.20,340,27.5,64.0,36.5,15500,air,33,50,545,28,86,1320,16,inference,64,1,1500,1100000,5.70,running,94.0,mig,11200,sku_e,yellow,zone_b,alto
6720,6.77,2.25,575,26.0,59.5,33.5,14200,liquid,52,67,460,46,80,1460,8,fine_tuning,256,25,7000,8800000,52.00,aborted,64.0,full_gpu,8800,sku_d,blue,zone_c,alto
10060,10.11,1.65,420,29.0,68.0,39.0,18100,hybrid,45,61,590,39,89,1485,16,training,512,100,30000,50000000,124.00,success,105.0,full_gpu,12000,sku_a,white,zone_a,alto
5520,5.57,2.05,610,25.5,56.5,31.0,13800,air,20,37,390,19,75,1160,4,idle,2,1,30,17000,3.90,failed,42.0,temporal_sharing,7300,sku_c,green,zone_d,alto
7270,7.31,1.40,360,26.0,60.0,34.0,12900,liquid,35,54,470,33,81,1360,8,inference,128,1,600,600000,4.30,success,72.0,mig,9500,sku_b,red,zone_b,alto
8420,8.37,2.60,720,28.0,65.5,37.5,17400,air,46,62,515,41,86,1450,8,fine_tuning,512,36,14000,18000000,82.00,aborted,84.0,full_gpu,10800,sku_e,blue,zone_c,alto
11800,11.88,1.75,500,30.5,73.5,43.0,21900,air,58,75,670,53,95,1700,16,training,1536,150,65000,95000000,170.00,running,120.0,full_gpu,12000,sku_d,yellow,zone_a,alto
4900,4.87,1.10,290,24.0,54.0,30.0,12200,hybrid,30,45,360,28,72,1250,4,idle,4,1,100,50000,6.10,success,37.0,mig,7000,sku_a,green,zone_b,alto
9350,9.40,2.15,610,27.5,65.0,37.5,16000,liquid,41,58,555,36,86,1480,16,inference,64,1,2000,1500000,7.40,failed,91.0,temporal_sharing,11600,sku_c,white,zone_d,alto
6120,6.08,1.88,540,25.5,58.0,32.5,13500,hybrid,53,65,430,49,79,1450,8,fine_tuning,256,20,8000,9000000,45.00,running,57.0,full_gpu,7900,sku_b,blue,zone_a,alto
10500,10.56,2.45,680,29.0,70.0,41.0,19800,air,42,60,620,33,91,1500,16,training,1024,110,42000,68000000,138.00,aborted,110.0,mig,12000,sku_e,red,zone_c,alto
5760,5.79,1.35,350,25.0,56.0,31.0,11900,liquid,27,43,400,24,77,1220,8,idle,8,1,45,20000,4.70,running,54.0,temporal_sharing,7600,sku_d,green,zone_b,alto
7680,7.63,2.05,470,26.5,61.0,34.5,14500,hybrid,37,56,495,35,82,1390,8,inference,32,1,800,750000,5.80,success,76.0,full_gpu,9900,sku_a,yellow,zone_d,alto
9900,9.94,1.22,310,28.0,67.0,39.0,15200,air,49,64,575,44,88,1505,16,fine_tuning,512,42,15000,22000000,92.00,failed,102.0,mig,12000,sku_c,blue,zone_c,alto
6900,6.96,2.70,750,26.0,59.0,33.0,15850,liquid,24,40,450,21,79,1255,8,idle,4,1,70,34000,5.50,aborted,63.0,full_gpu,8800,sku_b,white,zone_a,alto
11300,11.36,1.65,460,30.0,71.0,41.0,19400,hybrid,52,68,640,50,93,1640,16,training,768,130,50000,76000000,155.00,success,116.0,temporal_sharing,12000,sku_e,green,zone_b,alto
4370,4.41,1.95,580,24.5,54.0,29.5,10500,air,36,50,330,38,70,1240,4,inference,128,1,1300,1000000,4.40,running,32.0,mig,6200,sku_d,red,zone_d,alto
8220,8.18,1.05,295,27.0,62.5,35.5,13600,liquid,31,52,505,30,84,1340,8,inference,64,1,2200,1900000,6.70,failed,82.0,full_gpu,10400,sku_a,white,zone_c,alto
9540,9.60,2.25,625,28.5,66.5,38.0,16600,air,46,59,550,41,87,1460,16,fine_tuning,384,28,9000,13000000,70.00,aborted,96.0,temporal_sharing,11800,sku_c,yellow,zone_a,alto
5900,5.86,1.50,400,25.0,56.5,31.5,12400,hybrid,29,45,410,26,77,1220,8,idle,8,1,85,45000,5.00,success,56.0,mig,7900,sku_b,blue,zone_b,alto
10400,10.46,2.90,780,29.5,70.5,41.0,20400,air,57,70,620,46,92,1600,16,training,1024,95,39000,60000000,120.00,failed,111.0,full_gpu,12000,sku_e,red,zone_d,alto
5180,5.22,1.28,330,25.0,55.0,30.0,11000,liquid,39,56,375,40,75,1300,4,fine_tuning,256,15,5000,6500000,38.00,running,36.0,temporal_sharing,7000,sku_d,green,zone_a,alto
7350,7.39,2.10,560,26.5,60.5,34.0,14700,air,34,53,480,33,81,1350,8,inference,128,1,1200,1200000,5.90,failed,74.0,full_gpu,9600,sku_a,white,zone_c,alto
8740,8.80,1.80,475,27.5,64.0,36.5,15600,hybrid,43,60,530,39,85,1430,16,fine_tuning,512,32,11000,16000000,77.00,aborted,88.0,mig,11000,sku_c,blue,zone_b,alto
11200,11.15,1.40,360,30.0,70.0,40.0,18200,liquid,51,66,610,48,91,1580,16,training,1536,140,56000,88000000,165.00,success,113.0,full_gpu,12000,sku_b,yellow,zone_d,alto
6460,6.52,2.60,700,25.5,57.0,31.5,14000,hybrid,23,38,420,20,78,1190,8,idle,4,1,60,28000,4.30,running,62.0,temporal_sharing,8400,sku_e,green,zone_a,alto
7850,7.90,1.20,320,26.0,60.0,34.0,12600,air,37,55,500,35,82,1380,8,inference,64,1,700,700000,4.80,success,79.0,mig,9900,sku_d,red,zone_c,alto
9180,9.23,2.35,620,28.0,66.0,38.0,16800,hybrid,47,62,560,42,87,1500,16,fine_tuning,384,36,13000,17000000,80.00,failed,92.0,full_gpu,11600,sku_a,blue,zone_b,alto
5020,5.05,1.70,520,24.5,53.0,28.5,10700,liquid,33,47,350,34,72,1240,4,inference,256,1,2500,2800000,5.10,running,34.0,temporal_sharing,6800,sku_c,white,zone_d,alto
10750,10.80,2.75,745,29.5,71.5,42.0,20500,air,55,69,630,45,93,1620,16,training,1024,105,45000,72000000,145.00,aborted,115.0,full_gpu,12000,sku_b,yellow,zone_a,alto
5680,5.73,1.15,300,25.0,55.5,30.5,11800,hybrid,28,44,395,25,76,1180,8,idle,8,1,75,35000,5.40,success,52.0,mig,7600,sku_e,green,zone_c,alto
8200,8.15,1.95,510,27.0,62.0,35.0,14200,immersion,40,57,510,38,84,1420,16,inference,128,1,1600,1400000,6.20,failed,83.0,temporal_sharing,10400,sku_d,red,zone_b,alto
9600,9.67,2.40,660,28.5,67.0,38.5,17200,air,49,65,570,43,88,1520,16,fine_tuning,512,40,16000,21000000,88.00,running,98.0,full_gpu,12000,sku_a,white,zone_d,alto
6020,6.07,1.80,480,25.5,57.5,32.0,13000,liquid,31,46,410,28,77,1240,8,idle,4,1,55,26000,4.90,aborted,57.0,mig,8100,sku_c,blue,zone_a,alto
11050,11.11,2.85,790,30.0,72.0,42.0,21100,air,53,67,640,47,94,1650,16,training,768,125,52000,83000000,160.00,failed,117.0,full_gpu,12000,sku_b,green,zone_c,alto
4760,4.81,1.30,350,24.0,54.5,30.5,11200,hybrid,35,51,340,37,72,1260,4,inference,128,1,1800,1700000,4.60,success,33.0,temporal_sharing,6500,sku_e,yellow,zone_b,alto
7450,7.42,2.20,590,26.5,61.0,34.5,14900,air,41,59,480,36,82,1370,8,fine_tuning,256,26,7800,9600000,58.00,failed,75.0,mig,9600,sku_d,white,zone_d,alto
8900,8.96,1.55,430,27.5,64.0,36.5,13800,liquid,45,61,540,40,85,1440,16,training,512,100,34000,54000000,120.00,aborted,89.0,full_gpu,11200,sku_a,blue,zone_a,alto
5350,5.39,2.65,710,25.0,56.0,31.0,13600,hybrid,22,39,375,19,75,1160,4,idle,2,1,35,19000,3.80,running,40.0,temporal_sharing,7000,sku_c,red,zone_c,alto
10150,10.08,1.25,335,28.5,67.0,38.5,15800,air,50,64,595,46,90,1530,16,inference,256,1,2800,2400000,7.00,success,106.0,mig,12000,sku_b,green,zone_b,alto
6680,6.75,2.05,565,25.5,58.5,33.0,14500,liquid,38,54,455,35,80,1340,8,fine_tuning,384,22,7000,9000000,50.00,failed,64.0,full_gpu,8500,sku_e,white,zone_d,alto
11400,11.46,2.70,730,30.5,72.5,42.0,20600,air,56,72,650,49,94,1640,16,training,1024,115,47000,74000000,135.00,aborted,118.0,full_gpu,12000,sku_d,yellow,zone_a,alto
6240,6.21,1.05,295,25.0,57.5,32.5,12200,hybrid,30,48,420,27,78,1200,8,idle,8,1,85,40000,5.70,success,58.0,temporal_sharing,8300,sku_a,blue,zone_c,alto
8060,8.12,1.90,510,27.0,62.0,35.0,14000,liquid,43,60,505,39,84,1425,8,inference,128,1,1400,1300000,5.30,running,80.0,mig,10400,sku_c,green,zone_b,alto
9340,9.29,2.30,620,28.0,66.5,38.5,16600,hybrid,46,64,560,41,87,1510,16,fine_tuning,512,38,12000,15000000,74.00,failed,94.0,full_gpu,11600,sku_b,red,zone_d,alto
4900,4.95,1.45,390,24.5,54.0,29.5,10800,air,34,49,350,33,72,1260,4,inference,256,1,2300,2600000,4.40,success,35.0,temporal_sharing,6700,sku_e,white,zone_a,alto
10600,10.66,2.60,700,29.5,71.0,41.5,20000,air,52,68,625,46,92,1600,16,training,768,105,44000,69000000,128.00,aborted,112.0,mig,12000,sku_d,blue,zone_c,alto
5700,5.66,1.75,460,25.0,56.0,31.0,12600,liquid,29,44,395,26,76,1210,8,idle,4,1,70,30000,4.80,failed,54.0,full_gpu,7600,sku_a,yellow,zone_b,alto
7580,7.64,1.30,340,26.5,60.5,34.0,13500,hybrid,39,56,485,36,82,1360,8,inference,64,1,900,850000,4.90,success,76.0,mig,9800,sku_c,red,zone_d,alto
9020,9.06,2.10,570,27.5,65.0,37.5,16200,air,44,61,550,40,86,1480,16,fine_tuning,384,30,10000,13000000,68.00,running,91.0,temporal_sharing,11300,sku_b,green,zone_a,alto
5200,5.23,1.95,540,25.0,55.0,30.0,11600,hybrid,24,40,370,21,75,1180,4,idle,8,1,60,26000,4.00,success,38.0,full_gpu,7000,sku_e,blue,zone_c,alto
10980,10.91,2.80,760,30.0,72.0,42.0,20800,air,55,70,640,48,94,1650,16,training,1024,130,52000,82000000,150.00,failed,117.0,full_gpu,12000,sku_d,white,zone_b,alto
4620,4.67,1.18,310,24.0,53.0,29.0,10100,liquid,36,52,340,35,71,1240,4,inference,128,1,1800,1600000,4.00,running,32.0,mig,6400,sku_a,red,zone_d,alto
7820,7.87,2.00,520,26.5,61.0,34.5,14800,hybrid,42,58,500,38,83,1400,8,fine_tuning,256,24,7500,9400000,54.00,aborted,77.0,temporal_sharing,10000,sku_c,yellow,zone_a,alto
9520,9.46,1.50,380,28.0,66.0,38.0,14200,liquid,48,63,565,43,87,1500,16,training,512,95,31000,49000000,116.00,success,95.0,full_gpu,12000,sku_b,white,zone_c,alto
6060,6.11,2.45,650,25.5,58.0,32.5,13700,air,25,41,415,24,78,1210,8,idle,4,1,45,22000,4.60,failed,56.0,mig,8100,sku_e,green,zone_b,alto
