active_power_w,energy_consumption_kwh,water_usage_effectiveness,carbon_intensity_gco2_kwh,inlet_temperature_c,exhaust_temperature_c,delta_t_c,fan_speed_rpm,cooling_method,cpu_utilization_percent,memory_utilization_percent,gpu_power_w,gpu_utilization_percent,gpu_temperature_c,gpu_core_frequency_mhz,num_gpus,ai_workload_type,batch_size,num_epochs,model_parameter_size_million,training_samples,job_duration_hours,job_status,rack_power_density_kw,gpu_sharing_mode,power_cap_w,manufacturer_sku_id,rack_label_color,rack_inventory_zone,environmental_waste_risk_level
2337,2.35,0.74,318,21.5,44.5,23.0,5060,air,59,62,299,85,79,1421,2,fine_tuning,64,9,2255,4739227,9.22,success,5.3,full_gpu,2890,sku_a,green,zone_d,baixo
1435,1.42,0.58,81,21.3,36.7,15.4,5900,air,33,64,114,51,58,1417,2,inference,256,1,620,1566807,1.48,success,5,mig,1636,sku_a,red,zone_c,baixo
6593,6.56,0.83,265,22.9,50.8,27.9,9805,liquid,69,74,486,83,84,1909,8,training,1024,68,22691,82752529,31.79,success,13.8,full_gpu,8792,sku_d,yellow,zone_b,baixo
3414,3.38,0.84,306,20.5,41.3,20.8,9432,hybrid,65,60,469,84,86,1837,4,fine_tuning,256,4,5101,2640096,4.95,success,10.7,full_gpu,4156,sku_c,blue,zone_a,baixo
2089,2.09,0.73,234,19.5,32.6,13.1,5270,air,55,62,261,74,73,1670,2,inference,64,1,274,2138836,0.95,success,6.8,temporal_sharing,2493,sku_c,red,zone_d,baixo
3908,3.95,0.46,271,20.5,40.7,20.2,9313,hybrid,71,68,346,86,79,1737,4,fine_tuning,512,10,1247,1275462,11.61,success,11.1,mig,4864,sku_c,white,zone_c,baixo
1077,1.09,0.51,210,21.2,28.2,7.0,2660,air,21,13,95,10,40,1083,1,idle,2,1,53,30925,0.46,success,5,mig,1346,sku_b,yellow,zone_a,baixo
5528,5.55,0.88,269,24.5,51.5,27.0,8434,immersion,61,72,444,74,81,1831,4,training,1024,40,18124,62472116,29.62,success,9.8,full_gpu,7055,sku_b,red,zone_b,baixo
5637,5.59,0.53,154,23.5,48.6,25.1,7898,liquid,79,87,390,85,75,1683,8,training,512,89,49444,65945690,50.21,success,11.9,full_gpu,7232,sku_e,red,zone_d,baixo
3618,3.63,0.56,156,20.3,47.3,27.0,7285,hybrid,70,58,420,62,76,1821,4,fine_tuning,512,17,4025,7576021,11.43,success,9.8,full_gpu,4581,sku_d,yellow,zone_b,baixo
