active_power_w,energy_consumption_kwh,water_usage_effectiveness,carbon_intensity_gco2_kwh,inlet_temperature_c,exhaust_temperature_c,delta_t_c,fan_speed_rpm,cooling_method,cpu_utilization_percent,memory_utilization_percent,gpu_power_w,gpu_utilization_percent,gpu_temperature_c,gpu_core_frequency_mhz,num_gpus,ai_workload_type,batch_size,num_epochs,model_parameter_size_million,training_samples,job_duration_hours,job_status,rack_power_density_kw,gpu_sharing_mode,power_cap_w,manufacturer_sku_id,rack_label_color,rack_inventory_zone,environmental_waste_risk_level
1190,1.16,1.07,634,23.7,54.4,30.7,9220,air,33,43,150,27,49,904,2,idle,1,1,426,56964,1.98,success,7.4,temporal_sharing,1817,sku_b,blue,zone_d,moderado
5156,5.21,1.32,333,24.9,57.4,32.5,13408,hybrid,61,65,419,61,81,1684,4,fine_tuning,384,21,5878,15279065,30.40,running,13.7,mig,6369,sku_c,green,zone_b,moderado
2946,2.88,0.66,180,23.2,43.6,20.4,6102,hybrid,41,52,305,47,64,1262,2,inference,16,1,1867,807710,3.01,success,9.7,temporal_sharing,3754,sku_b,yellow,zone_d,moderado
8680,8.65,1.76,427,26.3,60.0,33.7,15904,hybrid,61,86,509,51,86,1733,16,training,1024,98,25139,58165354,26.69,success,28.6,full_gpu,11287,sku_d,yellow,zone_a,moderado
6343,6.34,1.37,442,26.4,58.8,32.4,12905,hybrid,66,72,454,71,84,1665,8,fine_tuning,768,15,13671,16577821,17.13,success,14.9,full_gpu,7735,sku_e,red,zone_a,moderado
5144,5.22,0.78,320,23.6,47.2,23.6,9916,hybrid,67,75,303,66,71,1604,4,fine_tuning,768,10,11364,2495424,16.29,success,11.2,full_gpu,6664,sku_b,red,zone_a,moderado
5867,5.82,0.55,152,23.5,49.6,26.1,10218,immersion,82,67,537,74,83,1708,8,training,768,81,15424,70977947,34.40,success,18.8,full_gpu,7118,sku_a,green,zone_d,moderado
3183,3.15,1.08,305,23.8,52.2,28.4,9679,air,43,59,214,72,62,1528,2,inference,128,1,3500,3022060,5.38,running,11.7,mig,3625,sku_e,green,zone_a,moderado
1526,1.57,0.86,484,24.3,56.1,31.8,8782,air,27,35,159,29,48,1101,2,idle,2,1,414,71602,2.48,success,6.8,mig,2001,sku_a,blue,zone_b,moderado
2459,2.50,0.58,188,21.9,39.5,17.6,6510,liquid,39,70,396,48,69,1528,1,inference,128,1,5029,4363292,2.88,success,6.5,mig,2781,sku_e,red,zone_d,moderado
10184,10.14,2.26,373,23.2,58.4,35.2,16922,hybrid,67,73,592,65,91,1888,16,training,1536,38,50619,35498720,105.54,success,28.4,full_gpu,12000,sku_c,red,zone_a,moderado
4325,4.39,1.37,403,23.9,50.6,26.7,12363,hybrid,60,77,374,73,77,1694,4,fine_tuning,512,24,6448,14192648,6.09,success,13.8,full_gpu,6528,sku_c,blue,zone_c,moderado
7809,7.86,1.74,417,26.1,61.6,35.5,14995,hybrid,67,90,494,76,87,2021,8,training,256,70,51886,76300745,85.04,success,19.2,full_gpu,10876,sku_e,green,zone_a,moderado
2817,2.85,0.47,350,22.1,47.7,25.6,8288,liquid,43,70,276,70,66,1646,2,inference,16,1,1355,4369810,3.85,success,6.7,temporal_sharing,3586,sku_b,yellow,zone_b,moderado
2733,2.76,1.46,234,22.7,44.0,21.3,8939,air,36,62,355,47,67,1335,4,inference,512,1,5825,3550150,5.05,success,12.9,temporal_sharing,3272,sku_e,white,zone_d,moderado
11800,11.84,2.19,356,26.4,52.3,25.9,17420,liquid,63,65,502,55,86,1742,16,training,768,67,16644,83087206,31.25,success,28.1,full_gpu,12000,sku_b,yellow,zone_a,moderado
3677,3.65,0.75,397,24.0,54.9,30.9,9531,hybrid,60,71,268,62,68,1428,4,inference,256,1,2414,4489186,1.13,success,13.1,full_gpu,4559,sku_c,white,zone_c,moderado
2254,2.19,1.36,407,25.0,53.3,28.3,8834,air,25,43,188,30,54,1092,2,idle,4,1,451,81378,1.63,success,9.4,temporal_sharing,2519,sku_c,red,zone_a,moderado
1718,1.77,0.75,300,23.7,51.9,28.2,8045,air,31,43,269,34,61,1271,2,idle,16,1,151,57837,0.73,success,6.2,temporal_sharing,2603,sku_e,red,zone_a,moderado
4545,4.55,0.61,325,24.7,57.1,32.4,10575,liquid,55,74,413,63,79,1806,4,fine_tuning,512,11,7205,10654716,7.29,success,11.0,full_gpu,6009,sku_a,red,zone_b,moderado
3132,3.09,0.74,441,21.6,49.3,27.7,10244,hybrid,54,63,396,77,76,1800,4,fine_tuning,384,33,14333,11314315,19.73,success,11.3,mig,3515,sku_d,green,zone_c,moderado
5005,4.96,0.95,201,23.5,44.9,21.4,8313,air,75,82,279,71,72,1530,4,fine_tuning,384,32,8239,10654573,16.35,running,13.8,full_gpu,6810,sku_e,green,zone_a,moderado
3148,3.17,1.58,338,24.5,49.6,25.1,11093,hybrid,57,54,257,38,67,1253,4,inference,64,1,2634,2459828,1.63,success,11.2,full_gpu,4209,sku_a,blue,zone_a,moderado
6539,6.48,1.67,418,25.5,58.0,32.5,14475,air,45,76,465,42,80,1558,8,fine_tuning,512,17,7884,5950738,34.38,failed,19.4,full_gpu,9941,sku_a,green,zone_a,moderado
1659,1.64,0.46,333,21.6,41.6,20.0,5650,air,36,58,207,41,61,1320,1,inference,128,1,2765,1000539,2.80,success,6.5,mig,2163,sku_c,blue,zone_b,moderado
3307,3.34,1.74,300,25.1,50.1,25.0,9349,hybrid,43,66,330,49,70,1332,2,inference,128,1,5770,1087592,4.65,success,11.4,temporal_sharing,4290,sku_b,yellow,zone_d,moderado
7037,6.98,1.53,481,24.3,47.2,22.9,12790,hybrid,69,66,458,63,82,1607,8,fine_tuning,512,14,12262,12845674,26.71,success,19.6,full_gpu,8508,sku_c,green,zone_d,moderado
6620,6.64,1.14,474,24.0,51.5,27.5,13547,air,68,84,506,63,83,1748,4,training,1536,113,36065,56076765,22.67,failed,16.9,full_gpu,8944,sku_d,yellow,zone_d,moderado
4618,4.64,1.42,398,23.0,44.3,21.3,9114,hybrid,52,81,333,71,73,1592,4,fine_tuning,512,29,12248,10873812,17.85,success,9.6,mig,5380,sku_b,white,zone_c,moderado
1950,2.03,1.46,259,24.1,52.3,28.2,8193,air,11,46,192,10,48,1005,4,idle,2,1,37,47672,6.01,running,10.1,none,3032,sku_a,yellow,zone_b,moderado
3255,3.24,1.08,231,23.6,47.3,23.7,10164,liquid,38,63,355,40,69,1438,4,inference,128,1,5989,4420022,5.45,success,14.1,temporal_sharing,4333,sku_b,white,zone_b,moderado
3448,3.51,0.93,518,24.3,48.9,24.6,10953,liquid,35,60,345,48,67,1377,2,inference,128,1,3388,2288600,5.29,success,8.6,temporal_sharing,3942,sku_c,blue,zone_c,moderado
7338,7.28,1.80,537,25.4,52.9,27.5,14771,liquid,71,75,351,70,78,1819,8,fine_tuning,384,7,7934,14924856,11.76,success,18.0,full_gpu,9329,sku_b,green,zone_b,moderado
4259,4.26,1.46,362,23.7,52.9,29.2,10965,liquid,44,63,321,48,69,1450,4,inference,64,1,4841,3976445,5.33,running,12.3,mig,4991,sku_a,red,zone_b,moderado
3265,3.29,0.98,427,25.0,51.6,26.6,10275,hybrid,50,54,351,40,70,1396,2,inference,128,1,5222,4906251,4.67,success,6.9,mig,4012,sku_e,blue,zone_d,moderado
3464,3.46,1.34,479,23.4,52.6,29.2,11155,liquid,51,75,295,58,73,1511,4,inference,256,1,5410,1605461,4.71,success,14.7,mig,3946,sku_b,white,zone_b,moderado
5216,5.25,1.01,480,23.4,54.8,31.4,10959,hybrid,69,61,458,69,81,1603,4,fine_tuning,256,7,14278,12422093,15.05,success,11.0,full_gpu,7060,sku_a,blue,zone_b,moderado
3096,3.09,0.61,184,22.3,47.3,25.0,8863,hybrid,56,80,436,69,77,1841,4,fine_tuning,768,10,8956,5719280,9.14,running,11.0,mig,3559,sku_e,green,zone_c,moderado
9321,9.39,1.70,503,25.3,62.7,37.4,17035,liquid,64,85,515,77,85,1823,16,training,1024,58,12961,31453820,101.43,running,22.8,full_gpu,12000,sku_c,green,zone_b,moderado
2826,2.76,1.02,489,21.7,46.7,25.0,7729,hybrid,43,71,320,50,70,1287,4,inference,256,1,2418,2397111,1.35,success,8.7,temporal_sharing,3396,sku_c,red,zone_d,moderado
3418,3.43,0.94,252,23.2,55.0,31.8,10485,hybrid,39,59,332,54,68,1359,4,inference,512,1,4327,4979147,1.65,success,15.4,mig,4731,sku_d,white,zone_a,moderado
1307,1.29,1.23,602,24.3,52.7,28.4,8197,air,38,44,193,26,51,1135,2,idle,4,1,265,116343,3.35,running,7.3,mig,1747,sku_d,green,zone_d,moderado
10169,10.09,1.62,319,24.2,52.0,27.8,14708,immersion,82,85,604,63,87,1841,16,training,1536,31,33049,84274322,28.73,success,22.5,full_gpu,12000,sku_d,yellow,zone_c,moderado
1843,1.90,0.95,562,24.2,51.4,27.2,8024,air,26,24,216,26,55,1134,4,idle,4,1,205,57406,4.52,success,8.7,mig,2096,sku_a,yellow,zone_b,moderado
6572,6.61,0.97,310,23.4,46.3,22.9,12011,liquid,73,70,524,69,85,1804,8,fine_tuning,256,20,3571,12398012,21.47,success,16.2,mig,7771,sku_c,white,zone_c,moderado
7732,7.73,1.75,593,25.5,56.9,31.4,16287,immersion,74,82,469,77,85,1648,8,training,1024,30,11150,94896767,39.63,running,16.4,full_gpu,10913,sku_b,blue,zone_a,moderado
