active_power_w,energy_consumption_kwh,water_usage_effectiveness,carbon_intensity_gco2_kwh,inlet_temperature_c,exhaust_temperature_c,delta_t_c,fan_speed_rpm,cooling_method,cpu_utilization_percent,memory_utilization_percent,gpu_power_w,gpu_utilization_percent,gpu_temperature_c,gpu_core_frequency_mhz,num_gpus,ai_workload_type,batch_size,num_epochs,model_parameter_size_million,training_samples,job_duration_hours,job_status,rack_power_density_kw,gpu_sharing_mode,power_cap_w,manufacturer_sku_id,rack_label_color,rack_inventory_zone,environmental_waste_risk_level
4671,4.66,0.93,257,23.2,52.7,29.5,10380,liquid,69,79,372,79,75,1781,4,fine_tuning,64,18,10325,16726926,31.59,success,10.5,temporal_sharing,5946,sku_a,green,zone_a,moderado
5408,5.41,1.22,498,23.8,51.1,27.3,13891,hybrid,54,67,535,73,84,1548,4,fine_tuning,384,22,3811,10141190,25.56,success,10.3,full_gpu,7227,sku_a,blue,zone_a,baixo
5434,5.37,0.81,298,22.3,44.6,22.3,10933,hybrid,71,60,513,75,83,1844,4,fine_tuning,384,9,12675,12045192,30.78,success,10.1,full_gpu,6660,sku_e,yellow,zone_a,moderado
4726,4.67,1.4,337,23.1,45.3,22.2,8956,hybrid,64,70,384,58,76,1682,4,fine_tuning,768,18,12193,5485227,13.44,success,9.3,temporal_sharing,6244,sku_a,red,zone_d,moderado
4206,4.16,0.97,360,21.9,44.0,22.1,9987,hybrid,44,55,264,69,69,1481,4,inference,512,1,4296,3553324,4.16,success,10.5,mig,4755,sku_d,yellow,zone_d,baixo
11800,11.88,1.75,500,30.5,73.5,43.0,21900,air,58,75,670,53,95,1700,16,training,1536,150,65000,95000000,170.0,running,120.0,full_gpu,12000,sku_d,yellow,zone_a,alto
2582,2.6,1.53,384,23.1,48.5,25.4,10411,hybrid,50,59,235,44,65,1300,4,inference,64,1,4278,2348092,2.99,success,11.4,full_gpu,3526,sku_e,yellow,zone_b,moderado
5677,5.68,0.87,297,21.3,50.0,28.7,11372,hybrid,65,85,403,93,80,1815,8,training,1024,20,41026,22396544,79.46,success,14.5,full_gpu,7348,sku_b,red,zone_a,baixo
5982,6.0,0.49,232,23.2,48.1,24.9,11832,hybrid,58,80,473,67,82,1706,4,fine_tuning,128,21,14714,16528053,7.46,success,10.4,full_gpu,7678,sku_a,white,zone_b,moderado
7143,7.19,1.01,493,21.0,52.6,31.6,13495,liquid,75,70,568,68,86,1935,8,fine_tuning,768,35,14091,16804684,16.58,success,20.7,full_gpu,8019,sku_b,blue,zone_c,moderado
4900,4.87,1.1,290,24.0,54.0,30.0,12200,hybrid,30,45,360,28,72,1250,4,idle,4,1,100,50000,6.1,success,37.0,mig,7000,sku_a,green,zone_b,alto
7628,7.56,1.1,443,23.2,53.3,30.1,13350,liquid,79,78,430,65,79,1690,8,training,2048,122,56013,19361670,110.87,success,15.4,full_gpu,11034,sku_d,blue,zone_b,moderado
3080,3.07,1.29,314,23.5,46.5,23.0,7846,air,55,56,258,60,68,1379,4,inference,512,1,4548,4742844,2.4,success,8.2,full_gpu,3929,sku_c,green,zone_d,moderado
10750,10.8,2.75,745,29.5,71.5,42.0,20500,air,55,69,630,45,93,1620,16,training,1024,105,45000,72000000,145.0,aborted,115.0,full_gpu,12000,sku_b,yellow,zone_a,alto
2273,2.24,0.53,182,18.3,27.5,9.2,6615,liquid,48,49,317,75,65,1176,1,inference,64,1,896,2178331,2.49,success,5.8,full_gpu,2602,sku_b,red,zone_b,baixo
3996,3.99,0.74,222,22.9,40.1,17.2,5458,air,74,61,445,86,81,1580,4,fine_tuning,384,7,4395,1017388,11.3,running,9.9,mig,4559,sku_a,red,zone_d,baixo
6005,5.95,0.91,303,22.4,52.6,30.2,12092,liquid,68,81,443,75,81,1588,8,fine_tuning,768,8,7310,10338469,22.44,success,19.2,temporal_sharing,7920,sku_e,white,zone_b,baixo
8684,8.67,0.87,346,23.8,59.7,35.9,12824,liquid,86,77,457,83,82,1981,16,training,1024,80,31913,67486658,71.27,success,21.3,full_gpu,9968,sku_c,yellow,zone_d,baixo
6240,6.21,1.05,295,25.0,57.5,32.5,12200,hybrid,30,48,420,27,78,1200,8,idle,8,1,85,40000,5.7,success,58.0,temporal_sharing,8300,sku_a,blue,zone_c,alto
4152,4.12,0.74,184,23.1,42.3,19.2,10182,liquid,67,63,376,75,77,1599,4,fine_tuning,512,14,3867,9125758,9.73,success,9.3,full_gpu,4779,sku_d,red,zone_c,moderado
6804,6.89,0.59,269,21.0,44.8,23.8,9827,liquid,60,85,606,78,91,1672,8,training,2048,32,46888,77770112,16.59,success,15.8,full_gpu,8431,sku_c,blue,zone_b,baixo
3072,3.08,0.75,242,19.8,42.8,23.0,8647,air,67,55,354,62,73,1654,2,fine_tuning,384,14,3805,500908,11.11,success,6.2,full_gpu,4163,sku_c,green,zone_a,baixo
2844,2.85,0.85,274,23.2,46.1,22.9,9338,air,35,60,343,46,66,1302,4,inference,256,1,5860,4721293,2.14,success,14.5,temporal_sharing,3673,sku_b,yellow,zone_d,moderado
4810,4.77,1.3,350,24.0,53.5,29.5,10600,hybrid,35,51,350,34,72,1260,4,inference,128,1,2400,2500000,4.3,success,34.0,mig,6600,sku_a,green,zone_b,alto
1077,1.09,0.51,210,21.2,28.2,7.0,2660,air,21,13,95,10,40,1083,1,idle,2,1,53,30925,0.46,success,5.0,mig,1346,sku_b,yellow,zone_a,baixo
5380,5.44,1.85,500,25.0,55.5,30.5,12300,liquid,27,44,385,25,76,1180,8,idle,4,1,80,36000,5.1,failed,51.0,temporal_sharing,7200,sku_e,blue,zone_c,alto
7683,7.65,1.79,518,26.1,62.5,36.4,15096,hybrid,60,68,443,47,79,1668,8,training,1024,55,24596,77633055,68.34,success,20.6,full_gpu,10781,sku_b,blue,zone_a,moderado
2084,2.12,1.3,509,25.3,59.0,33.7,11846,air,20,38,148,14,47,1101,2,idle,2,1,50,98150,0.98,success,9.0,none,3453,sku_a,blue,zone_c,moderado
2575,2.55,0.58,126,20.0,39.7,19.7,5774,air,52,46,265,81,68,1519,2,inference,256,1,1258,1659029,0.75,success,8.0,temporal_sharing,3285,sku_d,white,zone_c,baixo
4949,5.01,1.55,259,22.7,47.2,24.5,10598,hybrid,48,74,312,63,74,1610,8,inference,64,1,5511,1351883,3.19,success,17.7,temporal_sharing,5856,sku_b,red,zone_b,moderado
5710,5.71,1.05,258,22.0,47.1,25.1,9136,liquid,65,58,478,64,80,1783,4,fine_tuning,384,13,4932,9418423,28.25,success,12.0,full_gpu,6981,sku_d,green,zone_b,moderado
6020,6.07,1.8,480,25.5,57.5,32.0,13000,liquid,31,46,410,28,77,1240,8,idle,4,1,55,26000,4.9,aborted,57.0,mig,8100,sku_c,blue,zone_a,alto
4339,4.3,0.98,284,21.1,43.0,21.9,10487,liquid,52,64,403,58,75,1471,8,inference,256,1,5494,2162843,3.02,success,11.5,temporal_sharing,5321,sku_a,blue,zone_c,baixo
2952,3.0,0.83,380,24.1,49.1,25.0,10060,air,47,59,260,38,66,1236,4,inference,512,1,1835,3692044,4.56,success,10.4,full_gpu,3581,sku_e,yellow,zone_c,moderado
10450,10.52,2.55,680,29.5,70.5,41.0,19800,air,51,67,620,45,92,1590,16,training,1024,110,44000,68000000,130.0,aborted,111.0,mig,12000,sku_d,green,zone_c,alto
816,0.83,0.3,122,21.0,34.2,13.2,3491,air,16,27,68,10,36,914,2,idle,4,1,20,46717,0.77,success,5.0,mig,1018,sku_a,blue,zone_c,baixo
11300,11.36,1.65,460,30.0,71.0,41.0,19400,hybrid,52,68,640,50,93,1640,16,training,768,130,50000,76000000,155.0,success,116.0,temporal_sharing,12000,sku_e,green,zone_b,alto
7820,7.87,2.0,520,26.5,61.0,34.5,14800,hybrid,42,58,500,38,83,1400,8,fine_tuning,256,24,7500,9400000,54.0,aborted,77.0,temporal_sharing,10000,sku_c,yellow,zone_a,alto
9362,9.39,2.32,426,25.8,52.2,26.4,15355,liquid,77,80,562,67,88,1901,16,training,2048,50,16384,80948153,94.54,success,24.0,full_gpu,12000,sku_c,green,zone_a,moderado
5020,5.05,1.7,520,24.5,53.0,28.5,10700,liquid,33,47,350,34,72,1240,4,inference,256,1,2500,2800000,5.1,running,34.0,temporal_sharing,6800,sku_c,white,zone_d,alto
4932,5.0,1.53,518,23.6,53.7,30.1,12629,hybrid,49,76,346,53,74,1525,8,inference,512,1,2858,1365846,2.31,success,18.7,temporal_sharing,6133,sku_a,blue,zone_a,moderado
7840,7.89,2.35,580,28.0,65.0,37.0,18100,air,28,52,535,22,86,1390,8,inference,32,1,350,180000,2.6,failed,86.0,full_gpu,10600,sku_a,red,zone_d,alto
4986,4.97,1.2,187,22.4,47.2,24.8,10759,hybrid,52,72,366,67,75,1628,4,fine_tuning,384,14,7952,17921430,16.55,success,11.9,full_gpu,6345,sku_e,red,zone_b,moderado
3392,3.42,0.83,303,23.4,46.9,23.5,7311,air,58,84,430,83,80,1768,4,fine_tuning,192,11,5203,2662267,5.13,success,9.7,full_gpu,4604,sku_b,red,zone_a,baixo
4549,4.58,1.58,292,23.7,49.0,25.3,11085,hybrid,73,76,354,67,76,1637,4,fine_tuning,256,27,4143,5743856,14.15,success,11.3,full_gpu,5927,sku_d,blue,zone_d,moderado
1695,1.68,0.53,84,21.0,36.3,15.3,3745,air,35,40,135,55,55,1445,2,inference,128,1,773,1512628,2.23,success,5.7,full_gpu,2026,sku_a,yellow,zone_d,baixo
10100,10.04,2.75,690,29.5,70.0,40.5,19700,air,50,68,590,40,90,1550,16,fine_tuning,512,40,20000,30000000,89.0,aborted,107.0,full_gpu,12000,sku_c,blue,zone_a,alto
9947,9.93,1.27,493,25.0,56.5,31.5,17148,hybrid,79,85,530,65,85,1815,16,training,768,50,57990,88768577,101.02,success,30.9,full_gpu,12000,sku_a,green,zone_b,moderado
3752,3.79,0.72,172,22.9,45.6,22.7,9625,hybrid,65,69,354,63,75,1516,4,fine_tuning,384,19,7942,17053204,20.22,success,8.4,full_gpu,4594,sku_a,red,zone_d,moderado
3352,3.4,0.86,520,22.9,49.0,26.1,11107,liquid,44,58,243,73,69,1547,4,inference,256,1,5688,4082712,3.52,success,9.5,mig,4241,sku_e,blue,zone_c,baixo
2635,2.66,0.68,226,20.4,37.6,17.2,5735,air,57,55,323,71,69,1206,2,fine_tuning,64,17,1561,1657589,7.91,success,5.7,full_gpu,3196,sku_a,white,zone_c,baixo
7655,7.69,1.64,583,26.5,52.7,26.2,14341,liquid,57,89,327,63,76,1819,8,fine_tuning,384,15,2827,4411581,21.25,success,22.5,mig,11784,sku_b,yellow,zone_c,moderado
7816,7.84,1.61,341,23.1,47.0,23.9,14087,liquid,62,76,528,68,83,1630,8,training,1536,80,41173,73721972,113.34,running,21.2,full_gpu,10196,sku_b,blue,zone_d,moderado
7652,7.63,1.05,416,25.4,56.4,31.0,14394,liquid,76,75,430,67,80,1725,8,training,768,81,18468,25529561,92.19,success,21.4,full_gpu,9094,sku_a,green,zone_a,moderado
6473,6.53,0.75,361,24.4,51.4,27.0,8797,hybrid,54,67,231,62,63,1401,4,inference,256,1,1393,1325144,2.43,success,11.0,temporal_sharing,8113,sku_b,white,zone_b,baixo
6145,6.14,1.56,477,24.6,52.7,28.1,11165,hybrid,70,63,372,77,78,1729,8,inference,512,1,5045,3462342,4.61,success,18.4,temporal_sharing,7128,sku_b,blue,zone_a,moderado
10850,10.91,3.1,740,30.0,71.5,41.5,20500,air,31,49,610,24,91,1460,16,idle,16,1,80,43000,7.1,running,116.0,full_gpu,12000,sku_d,red,zone_a,alto
1045,1.04,0.46,62,19.2,25.8,6.6,4102,air,10,30,104,8,36,673,4,idle,4,1,111,86128,0.71,success,5.0,temporal_sharing,1287,sku_c,yellow,zone_a,baixo
9020,8.96,1.5,390,27.5,65.0,37.5,14300,hybrid,47,62,550,41,86,1450,16,training,512,95,33000,52000000,116.0,failed,89.0,mig,11200,sku_b,yellow,zone_a,alto
