@relation datacenter_ai_environmental_waste_risk_v2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R27-29-weka.filters.unsupervised.attribute.NumericToNominal-R16-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute active_power_w numeric
@attribute energy_consumption_kwh numeric
@attribute water_usage_effectiveness numeric
@attribute carbon_intensity_gco2_kwh numeric
@attribute inlet_temperature_c numeric
@attribute exhaust_temperature_c numeric
@attribute delta_t_c numeric
@attribute fan_speed_rpm numeric
@attribute cooling_method {air,liquid,immersion,hybrid}
@attribute cpu_utilization_percent numeric
@attribute memory_utilization_percent numeric
@attribute gpu_power_w numeric
@attribute gpu_utilization_percent numeric
@attribute gpu_temperature_c numeric
@attribute gpu_core_frequency_mhz numeric
@attribute num_gpus {1,2,4,8,16}
@attribute ai_workload_type {training,inference,fine_tuning,idle}
@attribute batch_size numeric
@attribute num_epochs numeric
@attribute model_parameter_size_million numeric
@attribute training_samples numeric
@attribute job_duration_hours numeric
@attribute job_status {success,failed,aborted,running}
@attribute rack_power_density_kw numeric
@attribute gpu_sharing_mode {full_gpu,temporal_sharing,mig,none}
@attribute power_cap_w numeric
@attribute environmental_waste_risk_level {baixo,moderado,alto}

@data
0.357733,0.35614,0.138889,0.234657,0.390625,0.558091,0.629121,0.428543,liquid,0.783133,0.8375,0.518578,0.836957,0.68254,0.763413,4,fine_tuning,0.030777,0.114094,0.152275,0.171103,0.170423,success,0.047826,temporal_sharing,0.466138,moderado
0.422496,0.42193,0.200855,0.38452,0.4375,0.524896,0.568681,0.60121,hybrid,0.60241,0.6875,0.781906,0.771739,0.825397,0.612799,4,fine_tuning,0.187103,0.14094,0.05614,0.103723,0.13783,success,0.046087,full_gpu,0.579101,baixo
0.42478,0.418421,0.113248,0.283995,0.320313,0.390041,0.431319,0.455739,hybrid,0.650602,0.6,0.746365,0.793478,0.809524,0.804137,4,fine_tuning,0.187103,0.053691,0.186957,0.123203,0.166045,success,0.044348,full_gpu,0.529101,moderado
0.362566,0.357018,0.239316,0.330927,0.382813,0.404564,0.428571,0.358513,hybrid,0.722892,0.725,0.537964,0.608696,0.698413,0.699418,4,fine_tuning,0.374695,0.114094,0.179843,0.056088,0.07232,success,0.037391,temporal_sharing,0.492416,moderado
0.316872,0.312281,0.147436,0.358604,0.289062,0.377593,0.425824,0.409216,hybrid,0.481928,0.5875,0.344103,0.728261,0.679474,0.569489,4,inference,0.249634,0,0.063298,0.036322,0.022161,success,0.047826,mig,0.361111,baixo
0.971353,0.921053,0.314103,0.945848,0.960938,0.989627,1,0.995082,air,0.650602,0.7875,1,0.554348,0.857143,0.711054,16,training,0.749878,1,0.959179,0.971922,0.918545,running,1,full_gpu,1,alto
0.928032,0.886842,0.209858,0.387485,0.382813,0.470954,0.516484,0.430068,hybrid,0.554217,0.5875,0.297254,0.456522,0.52381,0.452489,4,inference,0.030777,0,0.063032,0.023991,0.015837,success,0.055652,full_gpu,0.252734,moderado
0.446134,0.445614,0.126068,0.282792,0.242188,0.502075,0.607143,0.477329,hybrid,0.73494,0.9125,0.568659,0.98913,0.761905,0.785391,8,training,0.499756,0.127517,0.605366,0.229109,0.429166,success,0.082609,full_gpu,0.589771,baixo
0.472935,0.473684,0.044872,0.204573,0.390625,0.462656,0.502747,0.499951,hybrid,0.650602,0.85,0.681745,0.706522,0.793651,0.714932,4,fine_tuning,0.062042,0.134228,0.217049,0.169068,0.039998,success,0.046957,full_gpu,0.618871,moderado
0.574956,0.57807,0.155983,0.518652,0.21875,0.556017,0.686813,0.581735,liquid,0.855422,0.725,0.835218,0.717391,0.857143,0.862961,8,fine_tuning,0.374695,0.228188,0.207854,0.171898,0.089292,success,0.136522,full_gpu,0.648942,moderado
0.377856,0.374561,0.175214,0.38452,0.453125,0.585062,0.642857,0.518049,hybrid,0.313253,0.4125,0.499192,0.282609,0.634921,0.420168,4,idle,0.001466,0,0.001373,0.000479,0.032647,success,0.278261,mig,0.559083,alto
