@relation 'datacenter_ai_environmental_waste_risk_v2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R27-29-weka.filters.unsupervised.attribute.NumericToNominal-R16-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute water_usage_effectiveness numeric
@attribute inlet_temperature_c numeric
@attribute gpu_utilization_percent numeric
@attribute job_status {success,failed,aborted,running}
@attribute rack_power_density_kw numeric
@attribute environmental_waste_risk_level {baixo,moderado,alto}

@data
0.138889,0.390625,0.836957,success,0.047826,moderado
0.200855,0.4375,0.771739,success,0.046087,baixo
0.113248,0.320313,0.793478,success,0.044348,moderado
0.239316,0.382813,0.608696,success,0.037391,moderado
0.147436,0.289062,0.728261,success,0.047826,baixo
0.314103,0.960938,0.554348,running,1,alto
0.209858,0.382813,0.456522,success,0.055652,moderado
0.126068,0.242188,0.98913,success,0.082609,baixo
0.044872,0.390625,0.706522,success,0.046957,moderado
0.155983,0.21875,0.717391,success,0.136522,moderado
0.175214,0.453125,0.282609,success,0.278261,alto
0.175214,0.390625,0.684783,success,0.090435,moderado
0.215812,0.414063,0.630435,success,0.027826,moderado
0.527778,0.882813,0.467391,aborted,0.168696,alto
0.053419,0.007813,0.793478,success,0.006957,baixo
0.098291,0.367187,0.913043,running,0.042609,baixo
0.134615,0.328125,0.793478,success,0.123478,baixo
0.126068,0.4375,0.880435,success,0.141739,baixo
0.209858,0.53125,0.271739,success,0.46087,alto
0.098291,0.382813,0.793478,success,0.330435,moderado
0.066239,0.21875,0.826087,success,0.093913,baixo
0.100427,0.125,0.652174,success,0.010435,baixo
0.121795,0.390625,0.173913,success,0.082609,moderado
0.217949,0.453125,0.391304,success,0.252174,alto
0.049145,0.234375,0.086957,success,0,baixo
0.33547,0.53125,0.25,failed,0.16087,alto
0.32265,0.617188,0.48913,success,0.353913,moderado
0.217949,0.554688,0.130435,success,0.034783,moderado
0.064103,0.140625,0.858696,success,0.026087,baixo
0.271368,0.351563,0.663043,success,0.110435,moderado
0.16453,0.296875,0.673913,success,0.266957,moderado
0.324786,0.570313,0.01087,aborted,0.193043,alto
0.149573,0.226563,0.608696,success,0.056522,baixo
0.117521,0.460938,0.391304,success,0.046957,moderado
0.485043,0.882813,0.467391,aborted,0.921739,alto
0.004274,0.21875,0.086957,success,0,baixo
0.292735,0.921875,0.521739,success,0.965217,alto
0.367521,0.648438,0.391304,aborted,0.626087,alto
0.435897,0.59375,0.706522,success,0.165217,moderado
0.303419,0.492188,0.347826,running,0.252174,alto
0.267094,0.421875,0.554348,success,0.11913,moderado
0.442308,0.765625,0.217391,failed,0.704348,alto
0.196581,0.328125,0.706522,success,0.06,moderado
0.117521,0.40625,0.880435,success,0.04087,baixo
0.277778,0.429688,0.706522,success,0.054783,moderado
0.053419,0.21875,0.576087,success,0.006087,baixo
0.527778,0.882813,0.413043,success,0.886957,alto
0.211538,0.53125,0.684783,success,0.225217,moderado
0.094017,0.367187,0.663043,success,0.029565,moderado
0.123932,0.367187,0.771739,success,0.03913,baixo
0.08547,0.171875,0.75,success,0.006087,baixo
0.290598,0.648438,0.804348,success,0.152174,moderado
0.284188,0.382813,0.173913,running,0.14087,moderado
0.16453,0.5625,0.706522,success,0.142609,moderado
0.100427,0.484375,0.652174,success,0.052174,baixo
0.273504,0.5,0.815217,success,0.116522,moderado
0.602564,0.921875,0.23913,running,0.965217,alto
0.209858,0.078125,0.065217,success,0,baixo
0.260684,0.726563,0.423913,failed,0.730435,alto
0.17094,0.59375,0.152174,success,0.052174,moderado
0.239316,0.921875,0.5,success,0.241739,alto
